Device,Test Name,Test Status,Message(s),Test description,Test category
dc1-border-leaf1a,VerifyRunningConfigDiffs,failure,"--- flash:/startup-config
+++ system:/running-config
@@ -248,7 +248,6 @@
 ip route vrf VRF11 10.10.12.0/24 10.255.252.2
 !
 ntp local-interface vrf MGMT Management1
-ntp server vrf MGMT 192.168.4.250 prefer
 !
 route-map RM-CONN-2-BGP permit 10
    match ip address prefix-list PL-LOOPBACKS-EVPN-OVERLAY
",Verifies there is no difference between the running-config and the startup-config.,Configuration
dc1-border-leaf1a,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
May 12 03:00:07 dc1-border-leaf1a Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.0.1 (VRF default AS 65100) 6/7 (Cease/connection collision resolution) 0 bytes 
 May 12 03:01:12 dc1-border-leaf1a Bgp: %BGP-3-NOTIFICATION: received from neighbor 172.100.100.1 (VRF default AS 65203) 6/5 (Cease/connection rejected) 0 bytes
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
dc1-border-leaf1a,VerifyNTP,failure,NTP status mismatch - Expected: synchronised Actual: NTP is disabled.,Verifies if NTP is synchronised.,System
dc1-border-leaf1b,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
May 12 03:00:11 dc1-border-leaf1b Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.128.8 (VRF default AS 65203) 6/7 (Cease/connection collision resolution) 0 bytes 
 May 12 06:24:16 dc1-border-leaf1b Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.252.2 (VRF VRF11 AS 65500) 4/0 (Hold Timer Expired Error/None) 0 bytes
 May 12 06:33:54 dc1-border-leaf1b Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.251.2 (VRF VRF10 AS 65500) 4/0 (Hold Timer Expired Error/None) 0 bytes
 May 12 10:24:36 dc1-border-leaf1b Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.252.2 (VRF VRF11 AS 65500) 4/0 (Hold Timer Expired Error/None) 0 bytes
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
dc1-leaf1b,VerifyRunningConfigDiffs,failure,"--- flash:/startup-config
+++ system:/running-config
@@ -247,7 +247,6 @@
 ip route vrf MGMT 0.0.0.0/0 192.168.4.1
 !
 ntp local-interface vrf MGMT Management1
-ntp server vrf MGMT 192.168.4.250 prefer
 !
 route-map RM-CONN-2-BGP permit 10
    match ip address prefix-list PL-LOOPBACKS-EVPN-OVERLAY
",Verifies there is no difference between the running-config and the startup-config.,Configuration
dc1-leaf1b,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
May 12 02:58:59 dc1-leaf1b Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.255.4 (VRF default AS 65100) 6/5 (Cease/connection rejected) 0 bytes
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
dc1-leaf1b,VerifyNTP,failure,NTP status mismatch - Expected: synchronised Actual: NTP is disabled.,Verifies if NTP is synchronised.,System
dc1-leaf1c,VerifyRunningConfigDiffs,failure,"--- flash:/startup-config
+++ system:/running-config
@@ -98,6 +98,5 @@
 ip route vrf MGMT 0.0.0.0/0 192.168.4.1
 !
 ntp local-interface vrf MGMT Management1
-ntp server vrf MGMT 192.168.4.250 prefer
 !
 end
",Verifies there is no difference between the running-config and the startup-config.,Configuration
dc1-leaf1c,VerifyNTP,failure,NTP status mismatch - Expected: synchronised Actual: NTP is disabled.,Verifies if NTP is synchronised.,System
dc1-leaf2a,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
May 12 02:59:02 dc1-leaf2a Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.255.10 (VRF default AS 65100) 6/5 (Cease/connection rejected) 0 bytes
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
